model,rows,mean_human_line_coverage,mean_llm_line_coverage,mean_line_coverage_diff_llm_minus_human,mean_human_branch_coverage,mean_llm_branch_coverage,mean_branch_coverage_diff_llm_minus_human,mean_human_instruction_coverage,mean_llm_instruction_coverage,mean_instruction_coverage_diff_llm_minus_human,mean_human_method_coverage,mean_llm_method_coverage,mean_method_coverage_diff_llm_minus_human,mean_human_mutation_score,mean_llm_mutation_score,mean_mutation_score_diff_llm_minus_human
deepseek-v4-pro,561,0.8780,0.8763,-0.0017,0.7867,0.7844,-0.0023,0.8764,0.8745,-0.0020,0.8857,0.8831,-0.0026,0.8061,0.8061,0.0000
gpt-5.5,560,0.8772,0.8755,-0.0017,0.7829,0.7808,-0.0021,0.8752,0.8734,-0.0018,0.8838,0.8815,-0.0022,,,
